Date,Ticker,Action,Amount,Price,Transaction Tax,Profit Tax
2019-05-28,4763.TW,buy,9909.8914510326,100.9092788696289,3000.0,
2019-05-28,8069.TWO,buy,32154.340441610693,31.100000381469727,3000.0,
2019-05-28,2881.TW,buy,14335.106519688952,34.8794059753418,1500.0,
2019-05-28,2882.TW,buy,12643.365493505265,39.54643249511719,1500.0,
2019-05-28,2330.TW,buy,13015.184381778741,230.5,9000.0,
2019-05-28,TWN,buy,62774.63784323295,15.930000305175781,20.0,
2019-05-28,TLT,buy,11655.011931377418,128.6999969482422,4500.0,
2019-05-28,GLD,buy,4138.0451247456185,120.83000183105469,1500.0,
2019-05-29,8069.TWO,buy,746.1620621016368,32.70000076293945,73.1985,
2019-06-05,4763.TW,buy,218.790020154539,108.72380065917969,71.36304761250001,
2019-06-11,2881.TW,buy,316.36822653962855,36.65223693847656,34.78680959680828,
2019-06-11,2330.TW,buy,280.98707543139716,244.5,206.1040198289298,
2019-06-19,2882.TW,buy,253.9140203562705,41.70262145996094,31.766640822883094,
2019-07-04,8069.TWO,buy,604.400153120007,34.599998474121094,62.736733127132396,
2019-07-19,2330.TW,buy,236.152932602199,259.0,183.49082863190864,
2019-09-06,00632R.TW,buy,1665.564739131169,11.319999694824219,0.37708384677349627,
2019-09-18,2882.TW,sell,12897.279513861537,40.91855239868164,1583.2140227651596,0.0
2019-09-19,2882.TW,buy,1537.7544215880105,41.01655960083008,189.22018765351385,
2019-09-27,2330.TW,buy,330.387491254945,272.0,269.5961928640352,
2019-10-08,2330.TW,buy,290.0707612051636,286.5,249.31581925583814,
2019-10-08,TWN,sell,62774.63784323295,19.489999771118164,24.46955354393272,22347.76771966358
2019-10-16,00632R.TW,buy,5119.183951831607,10.869999885559082,1.1129105794113094,
2019-10-25,8069.TWO,sell,33504.90265683233,31.549999237060547,3171.238959782544,0.0
2019-10-28,8069.TWO,buy,10267.780160544622,31.399999618530273,967.2248793727616,
2019-11-27,8069.TWO,buy,2187.5620510714334,33.150001525878906,217.55305599291842,
2019-12-13,2881.TW,buy,909.2320338479265,38.87858200073242,106.04895655694799,
2019-12-13,00632R.TW,buy,6925.8841638042195,10.079999923706055,1.3962582368548702,
2020-01-03,4763.TW,sell,10128.68147118714,94.9294662475586,2884.530977553995,0.0
2020-01-06,4763.TW,buy,3817.8376780831777,96.42442321777344,1104.3983881447614,
2020-02-20,4763.TW,buy,817.5336336976588,101.28301239013672,248.40680745346043,
2020-03-16,TWN,buy,20765.530871256757,15.550000190734863,6.458080180175065,
2020-03-17,TWN,buy,18451.616653959354,15.75,5.812259245997198,
2020-03-19,00632R.TW,sell,3427.658213691749,13.800000190734863,0.9460336800544012,1275.0889470216798
2020-04-28,8069.TWO,sell,12455.342211616055,30.950000762939453,1156.4785528565667,0.0
2020-04-29,8069.TWO,buy,9905.27762556372,30.75,913.7618609582531,
2020-05-08,8069.TWO,buy,2076.039258343789,33.0,205.52788657603512,
2020-05-13,4763.TW,sell,4635.371311780837,92.31330108642578,1283.7192826554144,0.0
2020-05-13,2882.TW,sell,1537.7544215880105,38.93954849243164,179.63838860663253,0.0
2020-05-14,4763.TW,buy,3420.936629050596,92.31330108642578,947.3938591053903,
2020-05-14,2882.TW,buy,3685.5379097242876,38.545719146728516,426.1851275185598,
2020-05-26,2881.TW,sell,15560.706780076507,35.00309371948242,1634.0186332932105,0.0
2020-05-27,2881.TW,buy,4608.9975439678165,35.168006896972656,486.26777224317067,
2020-06-03,2882.TW,buy,944.2881577189186,40.760990142822266,115.47036086629392,
2020-06-03,TWN,sell,39217.14752521611,20.09000015258789,15.757449995313072,17020.242624349976
2020-06-04,00632R.TW,buy,9732.994246665523,9.789999961853027,1.9057202660714243,
2020-06-08,00632R.TW,buy,9647.332733533296,9.630000114440918,1.8580763065595054,
2020-07-07,00632R.TW,buy,9997.921556023552,9.0600004196167,1.8116234698573643,
2020-07-13,4763.TW,buy,875.2079080761401,100.9092788696289,264.94979659487933,
2020-09-02,4763.TW,sell,4296.144537126736,95.67694091796875,1233.125901161187,0.0
2020-09-16,4763.TW,buy,3891.2241033396454,99.04058837890625,1156.1673741268212,
2020-09-17,4763.TW,buy,797.034045527482,108.75777435302734,260.05094662547526,
2020-09-25,00632R.TW,sell,9915.305794324404,8.640000343322754,1.713364909342259,0.0
2020-11-02,TWN,buy,14959.295536787742,23.170000076293945,6.932137574573514,
2020-11-11,2881.TW,buy,1038.177585831831,37.55926513671875,116.97956161576899,
2020-11-17,00632R.TW,buy,10079.66251140327,7.639999866485596,1.540172404826817,
2020-12-30,TWN,buy,11613.822808796362,25.860000610351562,6.0066692984797765,
2021-01-04,00632R.TW,buy,9807.675000091567,6.889999866485596,1.3514975888233005,
2021-01-13,2881.TW,buy,827.1491609990599,39.826839447021484,98.82821050154425,
2021-02-25,2882.TW,buy,757.7908955680027,42.92703628540039,97.58915181238113,
2021-02-26,2882.TW,sell,5387.616963011209,41.3025016784668,667.56617597312,0.0
2021-03-02,2882.TW,buy,3383.4943337569994,41.25327682495117,418.7406851583937,
2021-03-08,4763.TW,sell,4688.258148867128,100.16179656982422,1408.7530769209498,0.0
2021-03-09,4763.TW,buy,3173.957042199592,98.2931137084961,935.9343613644193,
2021-03-09,2882.TW,buy,804.4216421917031,43.61623001098633,105.25751811494601,
2021-04-26,TWN,sell,26573.118345584102,31.989999771118164,17.00148099586263,16289.319315738214
2021-12-09,4763.TW,sell,3173.957042199592,88.53854370117188,843.0526028592924,0.0
2021-12-10,4763.TW,buy,4367.416563137552,88.96834564208984,1165.6854790566294,
2022-01-24,TWN,buy,10348.996086504887,33.779998779296875,6.991781503381665,
2022-01-25,TWN,buy,9344.5050663595,33.66999816894531,6.292589369480492,
2022-04-27,00632R.TW,sell,12408.313723617011,5.610000133514404,1.3922128329236012,0.0
2022-07-04,00632R.TW,sell,9306.235292712758,6.230000019073486,1.1595569210220567,0.0
2022-09-26,TWN,buy,13815.335429804463,21.420000076293945,5.918489719208761,
2022-09-27,00632R.TW,sell,6979.676469534568,6.190000057220459,0.8640839549159854,0.0
2022-09-29,00632R.TW,sell,5234.757352150926,6.320000171661377,0.6616733472839902,0.0
2022-09-30,00632R.TW,sell,3926.0680141131943,6.380000114440918,0.5009662875869002,0.0
2022-11-15,TWN,sell,33508.83658266885,23.299999237060547,15.615117336219418,6299.658465368265
2022-11-16,00632R.TW,buy,15228.439053370803,5.809999942779541,1.769544600574122,
2022-12-21,00632R.TW,sell,6751.660773927597,5.929999828338623,0.8007469446078254,81.01985202050548
2023-01-13,2882.TW,sell,4187.915975948703,41.79999923706055,525.1646537985885,0.0
2023-01-16,2882.TW,buy,4389.335866050413,41.75,549.7643172228142,
2023-01-30,00632R.TW,buy,16117.087268266008,5.400000095367432,1.7406454557136335,
2023-04-24,TWN,buy,12994.85753805109,26.1200008392334,6.788513795992259,
2023-04-26,00632R.TW,sell,9093.0173975122,5.360000133514404,0.9747714892942839,0.0
2023-05-29,00632R.TW,buy,15706.285341230317,4.940000057220459,1.5517810096879727,
2023-05-30,TWN,sell,12994.85753805109,28.940000534057617,7.521423681824025,3664.5494291588275
2023-12-18,00632R.TW,buy,18713.494267089336,4.539999961853027,1.6991852651744488,
